Date Created,Duration,Date Digitized,Physical Format,Episode Number,Program Title,Series Title
1956-04,0:30:44,,Film: 16mm,,Your doctor's education: Dr. Robert Parkin,
n.d.,0:05:00,,Betacam SP,,Wisconsin Idea,
n.d.,,,Film: 16mm,,University cooperation,
n.d.,,,VHS,,Pioneering the Science of Home Economics at UW Madison: The First Thirty Years,
9/19/2002,,,VHS,,PBS: Thou shalt honor,
1987,0:06:45,,VHS,,Independent living: Housing Concerns for the Older Person,
1973,0:22:03,,3/4 inch videotape,,Ellington,
1985,,,3/4 inch videotape,,Vantage points: Portrait of a University,
n.d.,,,3/4 inch videotape,,[5 unmarked broadcast videocassettes],
n.d.,,,VHS,,Precollege programs tape,
n.d.,,,Film: 16mm,,Nova: The Great violin mystery / Violins [various reels],
n.d.,,,Film: 16mm,,Nova: The Great violin mystery / Violins [various reels],
n.d.,,,VHS,,Vantage points: Portrait of a University,
1973,,,VHS,,Ellington,
n.d.,0:07:00,,VHS,,A Tradition of discovery: Materials Science and Engineering,
n.d.,,,VHS,,The Forest where we live,
11/2/2000,2:00:00,,VHS,,Birth and evolution of Center for Demography & Ecology,
5/9/2000,1:40:00,,VHS,,"History of Center for demography and ecology, no. 1",
n.d.,,,VHS,,[two unmarked VHS videocassettes],
n.d.,,,Film: 16mm,,Nova: The Great violin mystery / Violins workprint outs (Pilot project),
n.d.,,,Film: 16mm,,Censorship: A WHA-TV Public Affairs presentation: 2 pt,
n.d.,,,Film: 16mm,,Simple gifts: Vandalism; Adams; Milwaukee music; Arboretum,
n.d.,,,Film: 16mm,,Horse racing,
n.d.,,,Film: 16mm,,Miscellaneous WHA-TV public service announcements,
1974?,,,Film: 16mm,,Black studies [ca. 1974]: parts 1 and 2 of 2,
n.d.,,,Film: 16mm,,Nova: The Great violin mystery / Violins,
1985,,,Film: 16mm,,"Sidran-Davis: Davis, Summer Time; Woods, Last Night",
12/2/1977,,,Film: 16mm,,Education Communications Board meeting,
n.d.,,,Film: 16mm,,Nova: The Great violin mystery / Violins,
n.d.,,,Film: 16mm,,Education Communications Board dinner,
n.d.,,,Film: 16mm,,Soils: Nelson interview; UW Campus; Soils spot,
1985/1992,,,3/4 inch videotape,,Summer sessions videos,
n.d.,,,Film: 16mm,,Nova: The Great violin mystery / Violins workprint outs (Pilot project)[various reels],
6/16/1994,,,,,The Johnsons: The Virus doesn't care,
8/21/1973,,,,,Duke Ellington and friends [63c and 63b],
1994,,,,,Saving Taliesen,
11/3/1994,0:30:00,,Betacam SP,,Chvala for Governor Campaign [1994]: [NPA Field Tape Archive 34],
n.d.,,,DVCPRO50,,Wisconsin politician compilation Reel,
3/23/2006,,,DVCPRO50,,Latino immigration march Milwaukee,
1/2/2003,0:14:00,,Betacam SP,,Eagle-cam,
4/28/2006,0:30:00,,DVCPRO50,,University of Wisconsin-Madison campus shots,
n.d.,,,Film: 16mm,,[no title],
9/20/2006,0:04:00,,DVCPRO50,,Capitol exteriors,
1998-02-29,0:30:00,,Betacam SP,,McCain / Feingold bill - press conference,
2005,0:30:00,,Betacam SP,,"Russ Feingold in Montgomery, Alabama",
11/18/2006,0:30:00,,DVCPRO,,Russ Feingold at Monona Terrace,
11/18/2006,0:30:00,,DVCPRO,,Russ Feingold at Monona Terrace,
n.d.,0:30:00,,DVCPRO,,"Russ Feingold in Greenville, ALA",
10/15/2007,0:30:00,,Betacam SP,,Giuliani in Milwaukee,
2006-02,0:30:00,,DVCPRO,,Sensenbrenner b-roll (Immigration bill),
4/29/2006,0:30:00,,DVCPRO,,"Russ Feingold in Iowa, no. 1",
4/29/2006,0:30:00,,DVCPRO,,"Russ Feingold in Iowa, no. 2",
4/29/2006,0:30:00,,VHS,,"Russ Feingold in Iowa, no. 1",
4/29/2006,0:30:00,,VHS,,"Russ Feingold in Iowa, no. 2",
n.d.,0:30:00,,Betacam SP,,Nixon reality check,
n.d.,0:30:00,,Betacam SP,,"WISC feed - Hween, Noble Wray, Joel Despain",
2/20/2006,0:30:00,,DVCPRO,,Bush in Milwaukee,
n.d.,0:30:00,,Betacam SP,,Soviet May Day rally and b-roll in Russia?,
1/4/2007,0:30:00,,DVCPRO,,Rep. Steve Kagen swearing in,
2006,0:30:00,,DVCPRO,,Green Court hearing - 06 (Green not included),
2006,0:30:00,,DVCPRO,,Green Court hearing - 06 (Green not included),
4/3/2007,0:30:00,,DVCPRO,,Zieigler Election Night,
4/4/2007,0:31:25,11/1/2016,DVCPRO,,Tommy Thompson Presidential bid announcment,
4/4/2007,0:30:00,,DVCPRO,,Tommy Thompson Presidential bid announcment,
9/1/2008,0:30:00,,Betacam SP,,Tommy Thompson in Racine,
8/10/2006,0:30:00,,DVCPRO,,Bush in Green Bay,
3/15/2006,0:30:00,,Betacam SP,,Doyle - Flu conference,
3/10/2006,0:30:00,,DVCPRO,,Jensen verdict,
12/15/2005,0:30:00,,Betacam SP,,Chvala sentencing,
6/8/2007,0:30:00,,DVCPRO,,"Tornado damage - Langlade Co., WI",
2005/2006,0:30:00,,DVCPRO,,"Georgia Thompson ""Travelgate""",
3/27/2006,0:30:00,,DVCPRO,,Foti sentencing,
2/20/2006,0:30:00,,DVCPRO,,E. Michael McCann interview,
n.d.,0:30:00,,DVCPRO,,Remote control channel flipping b-roll,
2006,0:30:00,,DVCPRO,,Assorted Jensen trial footage,
5/16/2006,0:30:00,,DVCPRO,,Jensen trial footage,
1/13/2006,0:30:00,,Betacam SP,,Foti b-roll,
1/13/2006,0:30:00,,D3,,Foti b-roll,
n.d.,0:30:00,,DVCPRO,,Burke and Ladwig sentencing,
3/2/2006,0:30:00,,VHS,,Jensen trial footage,
1/15/2003,0:30:00,,Betacam SP,,"Jensen, Foti, Schulz preliminary hearings",
n.d.,0:30:00,,VHS,,Bunch of old weird crap and 1970 concert,
4/12/2006,0:30:00,,Betacam SP,,Campaign Finance hearing,
4/12/2006,0:30:00,,Betacam SP,,Campaign Finance hearing,
4/29/2006,0:30:00,,scenestealer file,,Russ Feingold in Iowa,
5/14/1997,0:30:00,,Betacam SP,,"Point Beach nuclear power plant: Point Beach, WI [1997/05/14]",
n.d.,0:30:00,,Betacam SP,,Soviet May Day parade: Moscow [n.d.],
11/3/1994,0:30:00,12/2/2013,Betacam SP,,"Tommy Thompson campaign [1994]: Fond du Lac, WI [1994/11/03]",
11/9/1994,0:30:00,,Betacam SP,,"Dave Prosser/GOP Assembly takeover: Madison, WI [1994/11/09]",
11/3/1994,0:30:00,,Betacam SP,,"Chvala for Governor Campaign [1994]: Madison, WI / Milwaukee, WI [1994/11/03]",
1987,0:30:00,,Betacam SP,,"Democratic caucus activity: Madison, WI [1987]",
4/18/1994,0:30:00,,Betacam SP,,"Bill Clinton Health Care speech--Milwaukee, part 3: Milwaukee, WI [1994/04/18]",
7/27/1993,0:30:00,,Betacam SP,,"Sawmill: Mellon, WI [1993/07/27]",
11/3/1992,0:30:00,,Betacam SP,,"Scott Klug election night [1992]: Madison, WI [1992/11/03]",
4/20/1994,0:30:00,,Betacam SP,,"Crandon mine: Crandon, WI [1994/04/20]",
6/12/1989,0:30:00,,Betacam SP,,"Heart surgery--arythmia, part 1: Milwaukee, WI, Sinai Samaritan Hospital [1989/06/12]",
6/12/1989,0:30:00,,Betacam SP,,"Heart surgery--arythmia, part 2: Milwaukee, WI, Sinai Samaritan Hospital [1989/06/12]",
8/23/1989,0:30:00,,Betacam SP,,"Heart transplant, part 1: Milwaukee, WI, St. Lukes Hospital [1989/08/23]",
8/23/1989,0:30:00,,Betacam SP,,"Heart transplant, part 2: Milwaukee, WI, St. Lukes Hospital [1989/08/23]",
7/10/1997,0:30:00,,Betacam SP,,"Trucks and highways: Madison, WI, Interstate 94 [1997/07/10]",
7/3/1997,0:30:00,,Betacam SP,,"Trucks at truck stop: Madison, WI [1997/07/03]",
8/3/1995,0:30:00,,Betacam SP,,"Welfare press conference, part 1: Kenosha, WI [1995/08/03]",
8/3/1995,0:30:00,,Betacam SP,,"Welfare press conference, part 2: Kenosha, WI [1995/08/03]",
6/17/1997,0:30:00,,Betacam SP,,WEAC rally [1997/06/17],
12/14/1995,0:30:00,,Betacam SP,,"Medical caps: Mukwango, WI [1995/12/14]",
3/29/1996,0:30:00,,Betacam SP,,Government press conference [1996/03/29],
5/30/1997,0:30:00,,Betacam SP,,Campaign Finance,
5/1/1997,0:30:00,,Betacam SP,,"Farm land taxation, part 1: Wisconsin [1997/05/01]",
n.d.,0:30:00,,Betacam SP,,Dr. Jack Kevorkian,
1996,0:30:00,,Betacam SP,,Election [1996],
7/21/1993,0:30:00,,Betacam SP,,Flooding in Iowa: Iowa [1993/07/21],
n.d.,0:30:00,12/17/2013,Betacam SP,,"Flooding in Soldier's Grove, WI: Wisconsin [n.d.]",
7/21/1993,0:30:00,,Betacam SP,,Flooding in Nebraska: Nebraska [1993/07/21],
n.d.,0:30:00,,Betacam SP,,"Flooding in Davenport: Davenport, IA [n.d.]",
n.d.,0:30:00,12/19/2013,Betacam SP,,"Soldiers Grove, WI",
n.d.,0:30:00,,Betacam SP,,Gunderson tour,
n.d.,0:30:00,,Betacam SP,,"Promo shot of Phoenix: Phoenix, AZ",
ca. 1965,0:30:00,,Betacam SP,,Martin Luther King Civil Rights march [ca. 1965],
6/30/1993,0:30:00,,Betacam SP,,"Flooding in Prairie du Chein: Prairie du Chein, WI [1993/06/30]",
5/17/1993,0:30:00,,Betacam SP,,"Flood of 1993: St. Louis, MO [1993/05/17]",
1993-07-15/1993-07-16,0:30:00,,Betacam SP,,"North Dakota flooding: Fargo, ND / Bismark, ND [1993/07/15-1993/07/16]",
n.d.,0:30:00,12/19/2013,Betacam SP,,Russ Feingold election,
n.d.,0:30:00,,Betacam SP,,"Flooding: Kanas City, Mo",
1976,0:30:00,,Betacam SP,,"Three Mile Island: Harrisburg, PA [1976]",
12/2/1997,0:30:00,,Betacam SP,,"Skyway airlines: Milwaukee, WI, Mitchell Field [1997/12/02]",
12/2/1997,0:30:00,,Betacam SP,,"Milwaukee takeoffs and landings: Milwaukee, WI, Mitchell Field [1997/12/02]",
1/28/1998,0:30:00,,Betacam SP,,"Bill Clinton visits La Crosse: La Crosse, WI [1998/01/28]",
1/28/1998,0:30:00,,Betacam SP,,"Bill Clinton in LaCrosse, part 1: La Crosse, WI [1998/01/28]",
1/28/1998,0:30:00,,Betacam SP,,"Bill Clinton in LaCrosse, part 2: La Crosse, WI [1998/01/28]",
1/28/1998,0:30:00,,Betacam SP,,"Bill Clinton in LaCrosse, part 3: La Crosse, WI [1998/01/28]",
4/20/1993,0:30:00,12/2/2013,3/4 inch videotape,,"Risser gives up gavel: Madison, WI, Senate Chambers [1993/04/20]",
6/23/1983,0:03:47,12/2/2013,3/4 inch videotape,,"Budget wars: Madison, WI [1983/06/23]",
2/19/1998,0:21:01,2/22/2016,Betacam SP,,"Oneida Casino: Oneida Nation, WI [1998/02/19]",
4/24/1998,0:30:00,,Betacam SP,,"Coal fired power plant: Madison, WI [1998/04/24]",
4/22/1998,0:30:00,,Betacam SP,,"Wind farm: DePere, WI [1998/04/22]",
6/26/1997,0:30:00,,Betacam SP,,"Senate budget session: Madison, WI, State Capitol [1997/06/26]",
1986,0:30:00,,Betacam SP,,"Uniroyal Plant: Eau Claire, WI [1986]",
1998-08,0:30:00,,Betacam SP,,"American Phoenix Rubber Plant: Eau Claire, WI",
8/20/1998,0:30:00,,Betacam SP,,"Sesquicentennial Pow Wow: Madison, WI [1998/08/20]",
8/25/1987,0:30:00,,3/4 inch videotape,,"Paul Molitor: Milwaukee, WI [1987/08/25]",
8/25/1987,0:30:00,,3/4 inch videotape,,"Paul Molitor: Milwaukee, WI [1987/08/25]",
8/5/1987,0:30:00,,3/4 inch videotape,,"Paul Molitor: Milwaukee, WI [1987/08/05]",
8/25/1987,0:30:00,,3/4 inch videotape,,"Paul Molitor: Milwaukee, WI [1987/08/25]",
11/3/1998,0:30:00,,Betacam SP,,"Election �98: Thompson victory speech and voting  at Lapham school: Madison, WI [1998/11/03]",
11/3/1998,0:30:00,12/19/2013,Betacam SP,,"Russ Feingold victory speech: Middleton, WI [1998/11/03]",
11/3/1998,0:30:00,,Betacam SP,,Election �98:  Miscellaneous [1998/11/03],
11/4/1998,0:30:00,12/17/2013,Betacam SP,,"Chvala and Thompson post election press: Madison, WI [1998/11/04]",
11/4/1998,0:30:00,12/18/2013,Betacam SP,,"Tommy Thompson post election press conference: Madison, WI [1998/11/04]",
11/30/1998,0:30:00,,Betacam SP,,Fox River PCB dredging: Deposit N PCB Cleanup [1998/11/30],
12/2/1998,0:30:00,,Betacam SP,,"Fox River PCB dredging: Kimberly, WI [1998/12/02]",
1/7/1999,0:30:00,,Betacam SP,,"Issue advocacy Supreme Court, part 1: Madison, WI, Supreme Court Chambers [1999/01/07]",
1/7/1999,0:30:00,,Betacam SP,,"Issue advocacy Supreme Court, part 2: Madison, WI, Supreme Court Chambers [1999/01/07]",
1/7/1999,0:30:00,,Betacam SP,,"Issue advocacy Supreme Court, part 3: Madison, WI, Supreme Court Chambers [1999/01/07]",
9/1/1998,0:30:00,,Betacam SP,,"Tommy Thompson campaign [1998]: Racine, WI [1998/09/01]",
9/2/1998,0:30:00,,Betacam SP,,"Tommy Thompson campaign [1998]: Marshfield, WI [1998/09/02]",
9/2/1998,0:30:00,12/19/2013,Betacam SP,,"Tommy Thompson campaign [1998]: Marshfield, WI [1998/09/02]",
9/25/1998,0:30:00,,Betacam SP,,"Ed Garvey campaign [1998]: Madison, WI [1998/09/25]",
1996,0:30:00,,Betacam SP,,Wisconsin Manufacturers and Commerce [1996] issue ad spot reel,
6/15/1998,0:30:00,,Betacam SP,,"Baraboo Army ammo plant: Baraboo, WI",
6/15/1998,0:30:00,,Betacam SP,,"Baraboo Army ammo plant: Baraboo, WI",
6/16/1998,0:30:00,,Betacam SP,,"Buffalo: Muscoda, WI [1998/06/16]",
10/20/1998,0:30:00,,Betacam SP,,"Russ Feingold campaign [1998]: Milwaukee, WI, University of Wisconsin [1998/10/20]",
10/22/1998,0:30:00,,Betacam SP,,"Russ Feingold crimefighter endorsements: Milwaukee, WI [1998/10/22]",
10/21/1998,0:30:00,,Betacam SP,,"Neumann Senate campaign [1998]: Pewaukee, WI / Mequon, WI [1998/10/21]",
10/21/1998,0:30:00,,Betacam SP,,"Neumann Senate campaign [1998]: Mequon, WI [1998/10/21]",
5/5/1999,0:30:00,,Betacam SP,,"Madison and Dane County recycling: Madison, WI [1999/05/05]",
7/30/1999,0:30:00,,Betacam SP,,F-22: misc. [1999/07/30],
8/4/1999,0:30:00,,Betacam SP,,"Grain elevator: Clinton, WI [1999/08/04]",
8/17/1999,0:30:00,,Betacam SP,,"Old septic tank removal: Dane County, WI [1999/08/17]",
8/17/1999,0:30:00,,Betacam SP,,"New septic system: Cross Plains, WI [1999/08/17]",
8/18/1999,0:30:00,,Betacam SP,,"Suburban sprawl: Dane County, WI, [1999/08/18]",
n.d.,0:30:00,,Betacam SP,,Tommy Thompson compilation archive: Various locations,
1/20/1998,0:30:00,,Betacam SP,,"Ed Garvey responds to Thompson State of the State: Madison, WI, Temporary Senate Chambers [1998/01/20]",
9/12/1990,0:30:00,,3/4 inch videotape,,"Thompson/Loftus Debate, part 1: Milwaukee, WI [1990/09/12]",
9/12/1990,0:30:00,,3/4 inch videotape,,"Thompson/Loftus Debate, part 2: Milwaukee, WI [1990/09/12]",
9/2/1999,0:30:00,,Betacam SP,,"Supermax Prison tour, part 1: Boscobel, WI [1999/09/02]",
9/2/1999,0:30:00,,Betacam SP,,"Supermax Prison tour, part 2: Boscobel, WI [1999/09/02]",
9/2/1999,0:30:00,,Betacam SP,,"Supermax Prison tour, part 3: Boscobel, WI [1999/09/02]",
6/17/1999,0:30:00,,Betacam SP,,"Electric power: Portage, WI /Columbia Generating Station [1999/06/17]",
10/27/1999,0:30:00,,Betacam SP,,"Tommy Thompson signs 1999 budget bill: Madison, WI, Pyle Center [1999/10/27]",
10/13/1999,0:30:00,,Betacam SP,,"Kenosha light rail construction: Kenosha, WI [1999/10/13]",
n.d.,0:30:00,,Betacam SP,,"Toronto streetcars: Toronto, Ontario, Canada [n.d.]",
1/26/1999,0:30:00,,Betacam SP,,"Stanley prison construction, part 1: Stanley, WI [1999/01/26]",
1/26/1999,0:30:00,,Betacam SP,,"Stanley prison construction, part 2: Stanley, WI [1999/01/26]",
1/26/1999,0:30:00,,Betacam SP,,"Stanley prison construction, part 3: Stanley, WI [1999/01/26]",
10/19/1999,0:30:00,,Betacam SP,,"Stanley prison construction: Stanley, WI [1999/10/19]",
1999,0:30:00,,Betacam SP,,Massachussetts tobacco ads [1999],
n.d.,0:30:00,,Betacam SP,,Florida anti smoking ads,
1986,0:30:00,,Betacam SP,,Ed Garvey vs. Kasten Senate Race [1986]: Various locations,
6/2/1998,0:30:00,,Betacam SP,,"CCA prison in Tennesee, part 1: Whiteville, TN [1998/06/02]",
6/2/1998,0:30:00,,Betacam SP,,"CCA Prison in Tennesee, part 2: Whiteville, TN [1998/06/02]",
6/2/1998,0:30:00,,Betacam SP,,"CCA prison in Tennesee, part 3: Whiteville, TN [1998/06/02]",
6/2/1999,0:30:00,,Betacam SP,,"CCA prison in Tennesee, part 4: Whiteville, TN [1999/06/02]",
6/2/1998,0:30:00,,Betacam SP,,"CCA prison in Tennesee, part 5: Whiteville, TN [1998/06/02]",
7/26/1999,0:30:00,,Betacam SP,,"Tommy Thompson signs 1995 budget bill: Madison, WI [1999/07/26]",
10/26/1999,0:30:00,,Betacam SP,,"Dane County commuter rail demo: Madison, WI [1999/10/26]",
9/16/1999,0:30:00,,Betacam SP,,"Conference committee returns [1999]: Madison, WI, State Capitol",
8/26/1999,0:30:00,,Betacam SP,,"Sentencing commission report unveiled: Madison, WI, Governor's conference room [1999/08/26]",
8/26/1999,0:30:00,,Betacam SP,,"Sentencing commission report unveiled: Madison, WI, Governor's conference room [1999/08/26]",
n.d.,0:30:00,,Betacam SP,,Brewer stadium animation [n.d.],
5/12/1994,0:30:00,,Betacam SP,,Hospital laboratory: Marshfield Clinic [1994/05/12],
2/12/1999,0:30:00,,Betacam SP,,Russ Feingold impeachment comments: Washington DC [1999/02/12],
1998-10,0:30:00,,Betacam SP,,"Embrionic stem cell animation: Madison, WI, UW Hospital [1998/10]",
3/5/1997,0:30:00,,Betacam SP,,"Cloning : Madison, WI, University of Wisconsin [1997/03/05]",
7/7/1997,0:30:00,,Betacam SP,,"Aerial shots of Madison: Madison, WI",
2/21/1998,0:30:00,,Betacam SP,,"Video poker: Sparta, WI [1998/02/21]",
n.d.,0:30:00,,Betacam SP,,"Dairy case file footage: Madison, WI [n.d.]",
2/3/1994,0:30:00,12/2/2013,Betacam SP,,"Cheese plant: Richland County, WI, Cedar Grove Cheese [1994/02/03]",
1/22/1997,0:30:00,12/2/2013,Betacam SP,,"Milk strike: Cashton, WI [1997/01/22]",
10/1/1992,0:30:00,12/1/2013,3/4 inch videotape,,"Bill Clinton / Al Gore rally at Capitol, part 1: Madison, WI",
10/1/1992,0:30:00,12/2/2013,3/4 inch videotape,,"Bill Clinton / Al Gore rally in Madison, part 2: Madison, WI [1992/10/01]",
n.d.,0:30:00,12/19/2013,Betacam SP,,"Tommy Thompson and Newt Gingrich: Milwaukee, WI [n.d.]",
9/15/1996,0:30:00,,Betacam SP,,"Tommy Thompson at 1996 GOP convention, San Diego, CA: San Diego, CA [1996/09/15]",
1998-12,0:30:00,,Betacam SP,,"Bill Clinton House Impeachment Committee hearings, part 1: Washington DC [1998/12]",
1998-12,0:30:00,,Betacam SP,,"Bill Clinton House Impeachment Committee hearings, part 2: Washington DC [1998/12]",
1998-12,0:30:00,,Betacam SP,,"Bill Clinton House Impeachment Committee hearings, part 3: Washington DC [1998/12]",
10/11/1990,0:30:00,,3/4 inch videotape,,Clarence Thomas hearings: Washington DC [1990/10/11],
10/30/1993,0:07:40,12/2/2013,3/4 inch videotape,,"Camp Randall collapse: Madison, WI, Camp Randall Stadium [1993/10/30]",
4/4/1991,0:30:00,,3/4 inch videotape,,"Dubuque begins riverboat gambling: Dubuque, IA [1991/04/04]",
3/27/1996,0:30:00,,Betacam SP,,Stock market [1996/03/27],
7/23/1997,0:30:00,,Betacam SP,,"Sandhill  cranes: Briggsville [Marquette County], WI [1997/07/23]",
10/2/1997,0:30:00,12/19/2013,Betacam SP,,"Mark Neumann announces run for congress: Janesville, WI [1997/10/02]",
8/7/1997,0:30:00,,Betacam SP,,"Cow cloning: Madison, WI [1997/08/07]",
1997-09,0:30:00,,Betacam SP,,"University of Wisconsin-Madison research reactor: Madison, WI, University of Wisconsin [1997/09]",
n.d.,0:30:00,,Betacam SP,,"Farm land taxation, part 2: Wisconsin",
n.d.,0:30:00,12/18/2013,Betacam SP,,File shots,
1987-1989,0:30:00,12/2/2013,3/4 inch videotape,,"Heavy snowstorms: Madison, WI and elsewhere [1987-1989]",
1/25/1994,0:30:00,,Betacam SP,,"Bill Clinton, State of the Union, 1994: Washington DC [1994/01/25]",
11/9/1993,0:30:00,,Betacam SP,,NAFTA Debate--Al Gore vs. Ross Perot [1993/11/09],
4/9/1995,0:30:00,,Betacam SP,,"Oklahoma City bombing: Oklahoma City, OK [1995/04/09]",
1988-05,0:30:00,,3/4 inch videotape,,"Heart transplant: Madison, WI, UW Hospital [1988/05]",
11/22/1963,0:30:00,,Betacam SP,,"John F. Kennedy assassination coverage, part 1: New York [1963/11/22]",
11/22/1963,0:30:00,,Betacam SP,,"John F. Kennedy assassination coverage, part 2: New York [1963/11/22]",
9/16/1993,0:30:00,,3/4 inch videotape,,"MRI scanner: Green Bay, WI [1993/09/16]",
12/11/1967,0:30:00,,3/4 inch videotape,,"Otis Redding dies in plane crash: Madison, WI [1967/12/11]",
1984-04-31,0:20:00,,3/4 inch videotape,,"Posse Comitatus compound: Shawano, WI [Tigerton Dells] [1984/04/31]",
3/30/1988,0:30:00,,3/4 inch videotape,,"Jesse Jackson, Oak Creek [?]: Oak Creek, WI /Racine, WI [1988/03/30]",
3/30/1988,0:30:00,12/1/2013,3/4 inch videotape,,"Jesse Jackson campaign [1988]: Racine, WI [1988/03/30]",
11/1/1988,0:30:00,,3/4 inch videotape,,"Michael Dukakis rally in Milwaukee, 1988: Milwaukee, WI, Milwaukee Auditorium [1988/11/01]",
1992-11,0:30:00,12/2/2013,3/4 inch videotape,,"Election night [1992]: Madison, WI [1992/11]",
n.d.,0:30:00,,3/4 inch videotape,,Ronald Reagan/Mikhail Gorbachev [n.d.],
7/27/1987,0:30:00,,3/4 inch videotape,,"Ronald Reagan at Hartford: Hartford, WI, Broan Ventilator [1987/07/27]",
1981-04,0:30:00,,3/4 inch videotape,,Ronald Reagan shooting: Washington DC [1981/04],
2003,,,,,Redlining:  It's not just for housing anymore,
8/20/1992,,,,,For Senate,
6/17/1999,0:30:00,,Betacam SP,,"Power control room and power plant: Madison, WI / Portage, WI [1999/06/17]",
12/7/1941,0:30:00,,3/4 inch videotape,,Bombing of Pearl Harbor [1941/12/07],
3/27/1992,0:30:00,12/2/2013,3/4 inch videotape,,"Bill Clinton at Capitol: Madison, WI",
ca. 1941,0:30:00,,3/4 inch videotape,,War comes to Pearl Harbor [ca. 1941],
1/28/1988,0:30:00,,3/4 inch videotape,,Ronald Reagan State of the Union [1988]: Washington DC [1988/01/28],
n.d.,0:30:00,,3/4 inch videotape,,"Wallace-Katzenbach confrontation: Montgomery, AL [n.d.]",
3/26/1992,0:30:00,,3/4 inch videotape,,"Jerry Brown at Racine Labor Temple: Racine, WI [1992/03/26]",
10/12/1984,0:20:00,,3/4 inch videotape,,"Mondale-Ferraro campaign at capitol: Madison, WI [1984/10/12]",
10/14/1988,0:30:00,,3/4 inch videotape,,Bush / Dukakis debate libralism: Unknown [1988/10/14],
6/1/2000,0:30:00,,Betacam SP,,"Green Bay well drilling: Green Bay, WI [2000/06/01]",
6/1/2000,0:30:00,,Betacam SP,,"Green Bay water treatment plant, no. 2 [2000/06/01]",
6/8/2000,0:30:00,,Betacam SP,,"Green Bay water treatment plant, no. 5  [2000/06/08]",
6/23/2000,0:30:00,,Betacam SP,,"Ground water well drilling, no. 15 [2000/06/23]",
n.d.,0:30:00,,,,,
1983-06,0:30:00,,Betacam SP,,"Budget session [1983]: Madison, WI [1983/06]",
n.d.,0:30:00,,Betacam SP,,"French light rail: Nancy, France",
1/6/1999,0:30:00,,Betacam SP,,Paul Ryan and Tammy Baldwin join congress: Washington DC [1999/01/06],
12/19/2001,0:30:00,,Betacam SP,,"City Brewery, part 1: La Crosse, WI [2001/12/19]",
12/19/2001,0:30:00,,Betacam SP,,"City Brewery, part 2: La Crosse, WI [2001/12/19]",
12/19/2001,0:30:00,,Betacam SP,,"City Brewery, part 3: La Crosse, WI [2001/12/19]",
12/19/2001,0:30:00,,Betacam SP,,"City Brewery, part 4: La Crosse, WI [2001/12/19]",
10/10/2000,0:30:00,,Betacam SP,,"St. Leo's School, part 1: Milwaukee, WI [2000/10/10]",
10/10/2000,0:30:00,,Betacam SP,,"Marva Collins school, part 1: Milwaukee, WI [2000/10/10]",
10/10/2000,0:30:00,,Betacam SP,,"Marva Collins school, part 2: Milwaukee, WI [2000/10/10]",
10/10/2000,0:30:00,,Betacam SP,,"St. Leo's School, part 2: Milwaukee, WI [2000/10/10]",
